PMID,Title,Abstract,Authors
23330353,"Adult medulloblastoma, from spongioblastoma cerebelli to the present day: a review of treatment and the integration of molecular markers.","Although they represent the most common malignant brain tumor in the pediatric population, medulloblastomas are rare in adults, with an incidence of 0.5 per million. With only one exception, all of the prospective clinical trials in this disease have been done in the pediatric population, and therefore therapy for adult medulloblastoma has been either extrapolated from the pediatric literature or based on retrospective reviews. A growing body of literature underscores the genetic similarities between adult and pediatric disease, which may allow tailored therapy directed towards specific molecular pathways and may have an impact on clinical outcomes. Here we present the history, staging system, and treatment of medulloblastoma, reviewing the prognostic value and clinical application of molecular subtyping while highlighting the differences between adult and pediatric disease.",Nicole N;Alba A;John F JF
23324231,[Clinicopathologic significance of β-catenin protein and loss of heterozygosity on 10q in medulloblastoma].,"To study the expression of β-catenin protein and the status of loss of heterozygosity (LOH) on chromsome 10q in medulloblastoma, with clinical correlation. Immunohistochemical study for β-catenin protein was carried out in 50 cases of medulloblastoma encountered in the First Affiliated Hospital of Xinjiang Medical University during the period from 2002 to 2011, including 32 cases of classic medulloblastoma, 13 cases of desmoplastic medulloblastoma and 5 cases of medulloblastoma with extensive nodularity. The status of LOH on 10q was also detected by fluorescence in-situ hybridization. The clinicopathologic characteristics and prognostic parameters were studied by Kaplan-Meien and Cox analysis. The rates of expression of β-catenin protein in classic medulloblastoma, desmoplastic medulloblastoma and medulloblastoma with extensive nodularity were 53.1% (17/32), 4/13 and 1/5, respectively. The rate of LOH on 10q was 33.3% (8/24) in classic medulloblastoma and 2/11 in desmoplastic medulloblastoma. There was no statistically significant difference between the two tumor types. Univariate analysis showed that the expression of β-catenin protein (P = 0.022), lack of LOH on 10q (P = 0.020), extensiveness of tumor resection (P < 0.01), radiotherapy (P = 0.002) and chemotherapy (P < 0.01) represented important prognostic factors. Medulloblastoma with expression of β-catenin protein and without LOH on 10q carries a better prognosis. Assessment of these parameters is helpful in evaluating prognosis and subsequent patient management.",Jun-zhi JZ;Cheng-hui CH;Fu-an FA;Na N;Gulinaer G;Wei W
23323155,Microscopic Delineation of Medulloblastoma Margins in a Transgenic Mouse Model Using a Topically Applied VEGFR-1 Probe.,"The unambiguous demarcation of tumor margins is critical at the final stages in the surgical treatment of brain tumors because patient outcomes have been shown to correlate with the extent of resection. Real-time high-resolution imaging with the aid of a tumor-targeting fluorescent contrast agent has the potential to enable intraoperative differentiation of tumor versus normal tissues with accuracy approaching the current gold standard of histopathology. In this study, a monoclonal antibody targeting the vascular endothelial growth factor receptor 1 (VEGFR-1) was conjugated to fluorophores and evaluated as a tumor contrast agent in a transgenic mouse model of medulloblastoma. The probe was administered topically, and its efficacy as an imaging agent was evaluated in vitro using flow cytometry, as well as ex vivo on fixed and fresh tissues through immunohistochemistry and dual-axis confocal microscopy, respectively. Results show a preferential binding to tumor versus normal tissue, suggesting that a topically applied VEGFR-1 probe can potentially be used with real-time intraoperative optical sectioning microscopy to guide brain tumor resections.",Danni D;Ye Y;Steven Y SY;Henry H;Christopher H CH;Jonathan T C JT
23319193,Toll-like receptors as an innate immunity bridge to neuroinflammation in medulloblastoma.,"The relationship between inflammation, immunity and cancer is widely accepted but mechanisms mediating this relationship remain unknown. Our present study was undertaken to examine the presence and distribution of Toll-like receptors (TLRs) in necrotic areas of medulloblastoma. These receptors fulfil the criteria postulated for the receptors of innate immunity and signalling from TLRs induces synthesis of various pro-inflammatory cytokines, enzymes and mediators. The study was performed on human medulloblastoma samples containing areas of necrosis within the tumour and/or within the normal nerve tissue at the periphery of the tumour. Proteins of four TLRs: TLR 2, 3, 4 and 9 were detected in the tissue with the immunohistochemical method using the specific antibodies. Two types of necrotic areas were found. In the first type, the area of dead cells was surrounded by undifferentiated medulloblastoma cells. A lot of these cells expressed TLR 2 and TLR 3 antigens. TLR 2 was also expressed on the wall of de novo formed blood vessels that fill tumour regions already cleared from dead cells. The second type of necrotic areas were found at the periphery of the tumour and composed of normal nerve tissue cells. TLR 2, TLR 3 and TLR 9 were detected in hypertrophic glia cells. Our findings show a new function of TLRs as sensors of pathogens released by medulloblastoma dead cells. This new function may provide a key link connecting innate immunity, neuroinflammation and angiogenesis in the tumour.",Danuta D;Milena M;Slawomir S
23316474,Radiation therapy quality in CCG/POG intergroup 9961: implications for craniospinal irradiation and the posterior fossa boost in future medulloblastoma trials.,"Associations of radiation therapy (RT) deviations and outcomes in medulloblastoma have not been defined well, particularly in the era of reduced-dose craniospinal irradiation and chemotherapy. The aim of this study is to evaluate the quality of RT on Children's Cancer Group/Pediatric Oncology Group 9961 and analyze associations of RT deviations with outcome. Major volume deviations were assessed based on the distance from specified anatomical region to field edge. We investigated associations of RT deviations with progression-free survival (PFS), overall survival (OS), and explored associations with demographics and clinical variables. Of the 308 patients who were evaluable for volume deviations, 101 patients (33%) did not have any. Of the remaining 207 patients, 50% had only minor deviations, 29% had only major deviations, and 21% had both minor and major deviations. Of the patients with major deviations, 73% had a single major deviation. The most common major deviation was in the cribriform plate region, followed by the posterior fossa (PF); PF deviations resulted from treating less than whole PF. There were no significant differences in PFS or OS between patients with deviations and those without. There was no evidence of associations of deviations with patient age. Approximately one-third of patients had major volume deviations. There was no evidence of a significant association between these and outcome. This lack of correlation likely reflects the current high quality of RT delivered in Children's Oncology Group institutions, our strict definition of volume deviations, and the relatively few instances of multiple major deviations in individual patients. In is noteworthy that the types of PF volume deviations observed in this study were not adversely associated with outcome. As we move forward, quality assurance will continue to play an important role to ensure that deviations on study do not influence study outcome.",Bernadine B;Mary A H MA;Sandra S;Matthew K MK;Thomas T;Emiko E;Mehmet M;James M JM;Amar A;Roger J RJ
23285547,A visual latent semantic approach for automatic analysis and interpretation of anaplastic medulloblastoma virtual slides.,"A method for automatic analysis and interpretation of histopathology images is presented. The method uses a representation of the image data set based on bag of features histograms built from visual dictionary of Haar-based patches and a novel visual latent semantic strategy for characterizing the visual content of a set of images. One important contribution of the method is the provision of an interpretability layer, which is able to explain a particular classification by visually mapping the most important visual patterns associated with such classification. The method was evaluated on a challenging problem involving automated discrimination of medulloblastoma tumors based on image derived attributes from whole slide images as anaplastic or non-anaplastic. The data set comprised 10 labeled histopathological patient studies, 5 for anaplastic and 5 for non-anaplastic, where 750 square images cropped randomly from cancerous region from whole slide per study. The experimental results show that the new method is competitive in terms of classification accuracy achieving 0.87 in average.",Angel A;Fabio F;Joseph J;Alexander R AR;David D;Jennifer J;Anant A;Eduardo E
23281136,Malnutrition in pediatric patients with cancer at diagnosis and throughout therapy: A multicenter cohort study.,"Malnutrition is a common problem in pediatric patients with cancer. Reported prevalence varies widely and has often been assessed only in a subset of childhood types of cancer. This study aimed to describe the prevalence of malnutrition among pediatric patients newly diagnosed with cancer, to describe the occurrence and course of malnutrition during therapy and to identify factors associated with malnutrition during therapy. In a retrospective cohort study of 327 patients diagnosed from 2003 to 2006 in three Swiss tertiary care hospitals, weight and height measures together with patient-, disease-, and treatment-related characteristics were assessed. Malnutrition was defined as body mass index (BMI) below -2 standard deviation scores (SDS) or a weight loss >10% from diagnosis. Malnutrition was assessed at diagnosis and continuously during anticancer therapy. At diagnosis, 5.8% of the patients (19) were malnourished based on BMI. During anticancer therapy, the cumulative incidence of malnutrition rose to 22% (70 patients) after 30 days, to 36% (116 patients) after 60 days, and finally to 47% (155 patients). In these 155 patients, the median duration of malnutrition was 60 days (interquartile range, 21-122). Age above 10 years at diagnosis, BMI ≤ -1.0 SDS at diagnosis, and a diagnosis of medulloblastoma were positively associated with a higher proportion of malnutrition time during therapy. The rapid increase of malnutrition after the start of treatment underlines the need to develop evidence-based and efficient methods to provide nutritional support for children with cancer.",Karin K;Roland A RA;Claudia E CE;Sabina S;Eva E
23273960,Differentiation between high and low grade tumours in paediatric patients by using apparent diffusion coefficients.,"This study was performed to confirm the hypothesis that pre-operative apparent diffusion coefficient (ADC) can be used to distinguish between ""low grade"" and ""high grade"" tumours in paediatric patients. ADC values were retrospectively evaluated in thirty-six paediatric brain tumours. Twenty-one children with low grade brain tumours (12 WHO I astrocytomas, 1 giant cell tumour, 1 pilomyxoid astrocytoma, 4 WHO II astrocytomas, 2 craniopharyngiomas and 1 ganglioglioma) and 15 children with high grade brain tumours (6 medulloblastomas, 3 WHO III ependymomas, 1 PNET, 1 malignant rhabdoid tumour, 1 malignant germ cell tumour, 1 WHO III astrocytoma, 1 WHO IV astrocytoma, 1 rhabdomyosarcoma metastasis) were included in this study. Minimum and mean ADC values were compared between low grade and high grade tumours and cut-off values were evaluated. The cut-off values to differentiate low and high grade paediatric brain tumours were 0.7 × 10(-3) mm(2)/s and 1.0 × 10(-3) mm(2)/s for minimum ADC and average ADC values respectively. All but one high grade infratentorial ependymoma showed significantly lower ADC values than low grade brain tumours in children. Combining the information obtained from conventional MR imaging with the ADC values may increase the accuracy of pre-operative differentiation between low grade and high grade paediatric tumours. Cut-off values can help to discern low from high grade tumours. However, it has to be considered that there is a substantial overlap between tumour types previously described in the literature.",Luciana L;Alina A;Dirk D;Matthias M;Elke E
23273112,Chronic myeloid leukemia as a second malignant neoplasm in a patient with medulloblastoma after treatment with chemotherapy and irradiation: a case report and review of the literature.,,Nitika N;Wafik W;Toska T;Girish G
23271714,"Brain tumour boy can be given radiotherapy against mother's wishes, court says.",,Clare C
23258845,Reduced-dose craniospinal radiotherapy followed by tandem high-dose chemotherapy and autologous stem cell transplantation in patients with high-risk medulloblastoma.,"We assessed the feasibility and effectiveness of reduced-dose craniospinal (CS) radiotherapy (RT) followed by tandem high-dose chemotherapy and autologous stem cell transplantation (HDCT/autoSCT) in reducing late adverse effects without jeopardizing survival among children with high-risk medulloblastoma (MB). From October 2005 through September 2010, twenty consecutive children aged >3 years with high-risk MB (presence of metastasis and/or postoperative residual tumor >1.5 cm(2)) were assigned to receive 2 cycles of pre-RT chemotherapy, CSRT (23.4 or 30.6 Gy) combined with local RT to the primary site (total 54.0 Gy), and 4 cycles of post-RT chemotherapy followed by tandem HDCT/autoSCT. Carboplatin-thiotepa-etoposide and cyclophosphamide-melphalan regimens were used for the first and second HDCT, respectively. Of 20 patients with high-risk MB, 17 had metastatic disease and 3 had a postoperative residual tumor >1.5 cm(2) without metastasis. The tumor relapsed/progressed in 4 patients, and 2 patients died of toxicities during the second HDCT/autoSCT. Therefore, 14 patients remained event-free at a median follow-up of 46 months (range, 23-82) from diagnosis. The probability of 5-year event-free survival was 70.0% ± 10.3% for all patients and 70.6% ± 11.1% for patients with metastases. Late adverse effects evaluated at a median of 36 months (range, 12-68) after tandem HDCT/autoSCT were acceptable. In children with high-risk MB, CSRT dose might be reduced when accompanied by tandem HDCT/autoSCT without jeopardizing survival. However, longer follow-up is needed to evaluate whether the benefits of reduced-dose CSRT outweigh the long-term risks of tandem HDCT/autoSCT.",Ki Woong KW;Do Hoon DH;Meong Hi MH;Soo Hyun SH;Keon Hee KH;Hong Hoe HH;Ji Hye JH;Yeon-Lim YL;Yoo Sook YS;Hyung Jin HJ
23255582,"Boy must have surgery despite wishes of his mother, court rules.",,Clare C
23255213,Children's Oncology Group's 2013 blueprint for research: central nervous system tumors.,"In the US, approximately 2,500 children are diagnosed annually with brain tumors. Their survival ranges from >90% to <10%. For children with medulloblastoma, the most common malignant brain tumor, 5-year survival ranges from >80% (standard-risk) to 60% (high-risk). For those with high-grade gliomas (HGGs) including diffuse intrinsic pontine gliomas, 5-year survival remains <10%. Sixty-five percent patients with ependymoma are cured after surgery and radiation therapy depending on the degree of resection and histopathology of the tumor. Phase II trials for brain tumors will investigate agents that act on cMET, PDGFRA, or EZH2 in HGG, DIPG, or medulloblastoma, respectively. Phase III trials will explore risk-based therapy stratification guided by molecular and clinical traits of children with medulloblastoma or ependymoma.",Amar A;Roger J RJ;N K NK;Kenneth K;Daphne D;Thomas E TE; 
23251668,In vitro comparison of hypericin and 5-aminolevulinic acid-derived protoporphyrin IX for photodynamic inactivation of medulloblastoma cells.,"Hypericin (HYP) is a naturally occurring photosensitizer. Cellular uptake and photodynamic inactivation after incubation with this photosensitizer have neither been examined in medulloblastoma cells in vitro, nor compared with 5-aminolevulinic acid-derived protoporphyrin IX (5-ALA-derived PpIX). In 3 medulloblastoma cell lines (D283 Med, Daoy, and D341 Med) the time- and concentration-dependent intracellular accumulation of HYP and 5-ALA-derived PpIX was analyzed by fluorescence microscopy (FM) and FACS. Photocytotoxicity was measured after illumination at 595 nm (HYP) and 635 nm (5-ALA-derived PpIX) in D283 Med cells and compared to U373 MG glioma cells. All medulloblastoma cell lines exhibited concentration- and time-dependent uptake of HYP. Incubation with HYP up to 10 µM resulted in a rapid increase in fluorescence intensity, which peaked between 2 and 4 hours. 5-ALA-derived PpIX accumulation increased in D283 Med cells by 22% over baseline after 5-ALA incubation up to 1.2 mM. Photocytotoxicity of 5-ALA-derived PpIX was higher in D283 Med medulloblastoma compared to U373MG glioma. The LD50 [lethal dose (light dose that is required to reduce cell survival to 50% of control)] of 5-ALA-derived PpIX was 3.8 J/cm(2) in D283 Med cells versus 5.7 J/cm2 in U373MG glioma cells. Photocytotoxicity of HYP in D283 Med cells was determined at 2.5 µM after an incubation time of 2 h and an illumination wavelength of 595 nm. The [Formula: see text] value was 0.47 J/cm(2). By its 5-fold increase in fluorescence over autofluorescence levels HYP has excellent properties for tumor visualization in medulloblastomas. The high photocytotoxicity of HYP, compared to 5-ALA-derived PpIX, is convincingly demonstrated by its 8- to 13-fold lower LD50. Therefore HYP might be a promising molecule for intraoperative visualization and photodynamic treatment of medulloblastomas.",Rainer R;Christian C;Susan S;Florian F;Martin M;Klaus K;Wolfgang S L WS
23250910,MiR-124 targets Slug to regulate epithelial-mesenchymal transition and metastasis of breast cancer.,"MicroRNAs (miRNAs or miR) have been integrated into tumorigenic programs as either oncogenes or tumor suppressor genes. The miR-124 was reported to be attenuated in several tumors, such as glioma, medulloblastoma and hepatocellular carcinoma. However, its role in cancer remains greatly elusive. In this study, we show that the miR-124 expression is significantly suppressed in human breast cancer specimens, which is reversely correlated to histological grade of the cancer. More intriguingly, ectopic expression of miR-124 in aggressive breast cancer cell lines MDA-MB-231 and BT-549 strongly inhibits cell motility and invasive capacity, as well as the epithelial-mesenchymal transition process. Also, lentivirus-delivered miR-124 endows MDA-MB-231 cells with the ability to suppress cell colony formation in vitro and pulmonary metastasis in vivo. Further studies have identified the E-cadherin transcription repressor Slug as a direct target gene of miR-124; its downregulation by miR-124 increases the expression of E-cadherin, a hallmark of epithelial cells and a repressor of cell invasion and metastasis. Moreover, knockdown of Slug notably impairs the motility of MDA-MB-231 cells, whereas re-expression of Slug abrogates the reduction of motility and invasion ability induced by miR-124 in MDA-MB-231 cells. These findings highlight an important role for miR-124 in the regulation of invasive and metastatic potential of breast cancer and suggest a potential application of miR-124 in cancer treatment.",Yong-Jun YJ;Qiu-Yu QY;Ci-Xiang CX;Qian-Qian QQ;Ming M;Xiao-Ting XT;Dan-Xia DX;Guo-Qiang GQ;Jian-Rong JR;Qian Q
23248708,Infiltrating medulloblastoma in a child mimicking Lhermitte-Duclos disease.,,Ravindra B RB;Subin S;Ravi M RM
23248688,Urethral protrusion of the abdominal catheter of ventriculoperitoneal shunt: Case report of extremely rare complication.,"Hydrocephalus in its various forms constitutes one of the major problems in pediatric neurosurgical practice. The placement of a ventriculoperitoneal (VP) shunt is the most common form of treatment for hydrocephalus, so that all neurosurgeons struggle with shunt malfunctions and their complications. Well-known complications are connected with the use of the valve systems (malfunction, infectious, overdrainage, secondary craniosynostosis, etc.). We report an unusual case of protruding abdominal catheter from the urethra. This girl had received a VP shunt for hydrocephalus following surgery of posterior fossa medulloblastoma 4 years ago. After admission, the entire system was removed, antibiotic treatment was administered for 2 weeks, and a new VP shunt was placed. The postoperative course was uneventful. This complication is extremely rare.",Ugur U;Ayhan A;Nezih N;Gurkan G;Irfan S IS;Hizir H
23245832,Medulloblastoma.,"Medulloblastomas are primary malignant embryonal tumours of the central nervous system. They are the most common childhood central nervous system tumour, but are rare in the adult population. They arise infratentorially in the cerebellum or fourth ventricle and hence the most common presenting symptoms are those associated with raised intracranial pressure. Several histological subtypes have been described, although the classical and desmoplastic subtypes account for the majority. Recent advances in molecular biology and cytogenetics have led to an improved understanding of the genetic abnormalities and alterations in cell signalling pathways associated with medulloblastomas, including how these relate to patient outcome. The Modified Chang Staging System is still in use, but a number of other factors, including age, completeness of resection, histological subtype and genetic markers now contribute to treatment decisions and prognostication. Patients are currently classified as being either standard or high risk in order to stratify treatment. There has been an improvement in survival of all groups over the past 20 years. A multimodality approach is the cornerstone of treatment and recent trials have concentrated on ascertaining the most efficacious treatment combinations and timings for each patient group. Advances in surgical techniques have allowed a greater attainment of the two primary surgical goals: restoring normal cerebrospinal fluid (CSF) flow and maximal tumour resection. Radiotherapy to the craniospinal axis with a boost to the posterior fossa has been standard practice, but improvement in radiotherapy techniques and quality control has enabled optimisation of the trade-off between tumour control and normal tissue late toxicities. Combination chemotherapy is usually given adjuvantly, although it may be used to delay or avoid the use of radiotherapy in infants. In the future, the treatment of medulloblastoma will probably become increasingly individualised, based on patient-specific genetic features. Attention will be focussed not only on improving survival, but also on maintaining quality of life.",F F;R R;F F
23242569,Survivin expression in medulloblastoma: a possible marker for survival.,"Medulloblastomas are highly invasive tumors which are generally disseminated at the time of diagnosis. High and continued morbidity and mortality have prompted the search for new biologic markers that might be used for targeted therapy to minimise treatment related side effects. In this work, we studied the positive expression of survivin in medulloblastoma and investigated its relation to clinical, pathologic data and survival. Tumor tissue specimens from 47 patients with medulloblastoma who underwent primary surgical treatment from June 2002 to June 2006 at the Mansoura university hospital, Egypt were collected. Paraffin sections of all samples were submitted for immunohistochemistry using anti-survivin antibody. The relation between the percentage of positive survivin cells with clinical, pathological and survival data was evaluated. In 47 cancer tissue specimens, one case large-cell-anaplastic (1.12 %), tweleve cases desmoplastic (25.53 %) and 34 cases classic medulloblastomas (72.34 %). The immunohistochemical expression of survivin was nulear with moderate intensity. It does not correlate with either age or sex. There was a significant negative correlation of survivin expression with survival (p < 0.001), where negative survivin immunostaining was associated with prolonged overall and disease free survival, while survivin expression was associated with shortened survival. Survivin expression correlate with the clinical outcome with poor prognosis and could be a potential predictive factor for recurrence or metastasis.",Azza A;Mie Ali Ali MA;Fatma Mohamed Farouk FM;Ahmed Nageeb M AN
23237957,Constitutive activation of β-catenin in neural progenitors results in disrupted proliferation and migration of neurons within the central nervous system.,"Wnt signaling is known to play crucial roles in the development of multiple organs as well as in cancer. In particular, constitutive activation of Wnt/β-Catenin signaling in distinct populations of forebrain or brainstem precursor cells has previously been shown to result in dramatic brain enlargement during embryonic stages of development as well as in the formation of medulloblastoma, a malignant brain tumor in childhood. In order to extend this knowledge to postnatal stages of both cerebral and cerebellar cortex development, we conditionally activated Wnt signaling by introducing a dominant active form of β-catenin in hGFAP-positive neural precursors. Such mutant mice survived up to 21 days postnatally. While the mice revealed enlarged ventricles and an initial expansion of the Pax6-positive ventricular zone, Pax6 expression and proliferative activity in the ventricular zone was virtually lost by embryonic day 16.5. Loss of Pax6 expression was not followed by expression of the subventricular zone marker Tbr2, indicating insufficient neuronal differentiation. In support of this finding, cortical thickness was severely diminished in all analyzed stages from embryonic day 14.5 to postnatal day 12, and appropriate layering was not detectable. Similarly, cerebella of hGFAP-cre::Ctnnb1(ex3)(Fl/+) mice were hypoplastic and displayed severe lamination defects. Constitutively active β-Catenin induced inappropriate proliferation of granule neurons and inadequate development of Bergmann glia, thereby preventing regular migration of granule cells and normal cortical layering. We conclude that Wnt signaling has divergent roles in the central nervous system and that Wnt needs to be tightly controlled in a time- and cell type-specific manner.",Julia J;Daniel D;Mario M MM;Hans A HA;Ulrich U
23236877,[Medulloblastoma in childhood: an heterogeneous disease requiring treatment adjustments to known risk factors].,,Daniel D;Pascal P;Franck F;François F
23233694,Further investigations are planned for child whose mother took him into hiding to avoid treatment.,,Clare C
23233213,Survival of children with malignant brain tumors receiving valproate: a retrospective study.,"The treatment of pediatric patients with malignant brain tumors has evolved considerably in the past decades. However, results are still unsatisfactory for some patients. Valproate has been shown to positively affect the survival of adult glioblastoma patients. We have been giving prophylactic antiepileptic drugs to newly diagnosed children with brain tumors. Since then, we noted a trend towards a better survival from our patients. In order to study this, we performed a retrospective evaluation in our institution. Standard survival analysis was used, calculating survival until death by all causes or censoring. Comparisons were made by Cox's proportional hazards model regression. Between 2000 and 2010, 94 patients were treated (12 with high-grade gliomas, 56 medulloblastomas, and 26 ependymomas); median and mean ages were 7.7 and 7.8 years. Median follow-up was 60 months (35 for treated and 109 for untreated patients). Of these, 47 received valproate 10-15 mg/kg/day every 8-12 h and 47 did not. Patients who received valproate had a median survival of 34 months, whereas the other group had a median survival of 24 months (hazard ratios = 0.99, 0.57-1.75, p = 0.99). These results do not prove that valproate prophylactic treatment in pediatric patients with malignant brain tumors had an influence on their survival. However, our cohort showed an effect of higher size than the recent European Organization for Research and Treatment of Cancer trial analysis, even though not significant. Clinical trials with valproate in pediatric malignant brain tumors should be carefully planned, in order to detect a possible effect of this drug in survival.",F H C FH;O L OL;K M KM;N M NM;J B JB
23231521,Medulloblastoma biology in the post-genomic era.,"Medulloblastomas, the most common malignant pediatric brain tumors, are comprised of four molecularly distinct subtypes. However, treatment has yet to exploit these molecular vulnerabilities. Three recent studies sequenced a total of 310 primary tumors and identified that two of the four medulloblastoma subtypes are concomitantly associated with subtype-specific mutations as previously characterized. In contrast, the overwhelming majority of mutations occurred only once in the entire cohort and just 12 genes were recurrently mutated with statistical significance. Perturbations in epigenetic regulation are emerging as a unifying theme in cancer and similarly recurring mutations in epigenetic mechanisms were distributed across all subtypes in medulloblastoma. Designing targeted therapies to such a molecularly diverse disease in the post-genomic era presents new challenges. This will require novel methods to link these nonrecurrent mutations into pathways, and preclinical models that faithfully recapitulate patient driver events. Presently, medulloblastoma reinforces epigenetic mechanisms as a tantalizing therapeutic target in cancers.",Tenley C TC;Scott L SL
